brand_name,clothing_subtype,filename,date_bought,date_removed
mango,midi,mango-terracotta-midi.jpg,2023-05-19,
monki,top,monki-black-top.jpeg,2023-09-28,
zara,waistcoat,zara-waistcoat.jpeg,2022-12-29,2024-06-01
hollister,flannel,hollister-flannel.jpg,,
monki,maxi,monki-black-maxi.jpeg,2023-08-14,2024-06-01
gap,denim,gap-denim-jacket.avif,2021-05-16,
zara,coat,zara-grey-coat.jpeg,2022-09-01,
hollister,tshirt,hollister-black-tshirt.jpeg,,
uniqlo,jeggings,uniqlo-navy-jeggings.jpeg,2022-04-28,
apricot,jumper,apricot-block-jumper.jpg,2023-12-16,
guess,midi,guess-black-midi.jpeg,2019-12-26,
shein,long sleeve,f21-black-top.jpg,2018-11-25,
hollister,jumper,hollister-white-jumper.jpg,2022-06-09,
hm,crop,hm-silver-crop.jpeg,2017-10-01,
hollister,sherpa,hollister-beige-sherpa.jpeg,2020-11-28,
pullandbear,crop,pullandbear-red-crop.jpeg,2024-01-26,
bershka,crop,bershka-black-crop.jpg,2021-04-01,
uniqlo,jeggings,uniqlo-black-jeggings.jpeg,2022-04-28,2024-07-20
hm,skirt,hm-pencil-skirt.png,2016-01-01,
padini,jumper,padini-block-jumper.jpg,2022-07-08,
zara,bomber,zara-bomber.jpeg,2018-08-01,
hm,sleeveless,hm-boho-top.jpeg,2016-05-07,
cw,jumper,cw-lilac-jumper.png,2023-08-13,
mango,long sleeve,mango-grey-top.jpg,2023-11-25,
hm,jumper,hm-red-jumper.jpeg,2021-05-01,
monki,midi,monki-floral-midi.webp,2023-04-01,
suisui,top,suisui-red-top.jpg,2024-01-03,
bershka,jacket,bershka-cream-jacket.jpeg,2022-12-26,2024-06-01
hollister,jumper,hollister-wool-jumper.jpg,2023-04-07,
vspink,hoodie,pink-black-hoodie.jpeg,2018-08-01,
stradivarius,long sleeve,stradivarius-green-top.jpg,2023-01-01,
monki,tshirt,monki-purple-tshirt.jpeg,2023-08-14,
monki,jeans,monki-jeans.jpeg,2020-10-01,
primark,skirt,primark-brown-skirt.png,2020-10-01,
zara,denim,zara-denim-jacket.jpeg,2023-10-01,
monki,maxi,monki-pinstripe-maxi.jpeg,2023-08-14,2024-06-01
newlook,lace,newlook-burgundy-lace.jpeg,2019-02-19,
iora,skort,iora-beige-skort.jpg,2022-07-18,
loewe,tshirt,loewe-cream-tshirt.avif,2024-04-01,
bershka,sheer,bershka-white-sheer.jpg,2019-04-06,
bcbgmaxazria,sleeveless,bcbgmaxazria-floral-top.jpg,2022-05-15,
lcwaikiki,tshirt,lcwaikiki-black-tshirt.jpg,2024-01-24,
vspink,crop,vspink-navy-crop.jpeg,2018-08-01,
lcwaikiki,crop,lcwaikiki-dragon-crop.jpg,2024-01-11,
maxfashion,long sleeve,maxfashion-white-top.jpg,2022-07-09,
suisui,skort,suisui-black-skort.jpg,2023-01-23,2024-07-01
uniqlo,tshirt,uniqlo-turquoise-tshirt.jpeg,2022-07-09,2024-06-01
hollister,crop,hollister-pink-crop.jpg,2023-04-07,2024-07-01
womenssecret,tshirt,womenssecret-woodstock-tshirt.jpg,2023-07-02,
springfield,shorts,springfield-green-shorts.jpeg,2023-07-01,
hm,maxi,hm-navy-maxi.jpeg,2022-07-08,
monki,fleece,monki-block-fleece.jpeg,2022-04-01,
iora,tshirt,iora-navy-tshirt.jpg,2024-01-07,
hollister,skater,hollister-floral-dress.webp,2022-05-05,
gap,sleeveless,gap-burgundy-top.jpg,2021-05-16,
cottonclub,sheer,cottonclub-green-sheer.jpg,2023-09-24,2024-06-01
hollister,coat,hollister-navy-parka.webp,2020-07-16,
bamboobay,sleeveless,bamboobay-white-singlet.jpg,2023-05-06,
mango,culottes,mango-grey-culottes.jpeg,2023-11-25,
915,crop,newlook-black-crop.jpg,2017-10-01,
monki,tshirt,monki-graphic-tshirt.jpg,2023-05-20,
voir,tshirt,voir-red-crop.jpeg,2023-01-17,
monki,sheer,monki-sheer-top.jpeg,2023-05-20,
hollister,trousers,hollister-army-trousers.jpeg,2021-05-01,
lcwaikiki,sleeveless,lcwaikiki-pink-top.jpg,2024-01-11,
springfield,tshirt,springfield-nacy-tshirt.jpg,2023-07-01,
hm,sheer,hm-sheer-top.webp,2020-10-01,
tiffosi,tshirt,tiffosi-graphic-tshirt.jpg,2023-07-01,2024-06-01
bershka,midi,bershka-grey-dress.jpeg,2022-12-26,2024-06-01
monki,shirt,monki-black-shirt.jpg,2023-05-20,2024-06-01
f21,skater,f21-stripe-dress.jpg,2019-05-15,
cw,tshirt,cw-olive-tshirt.jpg,2023-08-13,
monki,shirt,monki-snake-shirt.jpg,2019-10-01,
hm,sleeveless,hm-black-top.jpg,,2024-06-01
hollister,tshirt,hollister-stripe-tshirt.jpg,,
newlook,maxi,newlook-black-maxi.jpeg,2021-04-01,
stwd,windbreaker,stwd-windbreaker.jpeg,2021-10-01,
uniqlo,fleece,uniqlo-burgundy-jacket.jpeg,2014-10-01,
hm,midi,hm-navy-dress.webp,2021-04-01,
tcl,maxi,tcl-floral-maxi.jpg,2024-01-09,
suisui,skort,suisui-black-skort-2.jpg,2024-01-03,
